
K = 6  [EXTERNAL_SOLUTION q4_v06_k05]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
30,11,0,0,0,4
20,14,0,0,0,4
1,18,0,0,0,4
29,4,1,0,10,5
35,9,0,0,0,5
34,12,1,0,10,5
9,15,0,0,0,5
33,18,0,0,0,5
8,3,5,0,250,6
45,6,0,0,0,6
17,9,0,0,0,6
5,12,0,0,0,6
18,15,0,1,20,6
7,18,0,4,320,6
6,23,0,3,180,6
4,3,6,0,360,7
23,7,0,0,0,7
25,11,0,0,0,7
39,14,0,0,0,7
==================================================
  Q4 Results
==================================================
  Vehicles        : 8
  Total travel    : 97.0000
  Total TW penalty: 7890.0000
  Objective       : 7987.0000
    V0: route_len=7, load=37.0 (62%), travel=16.00, penalty=2000.00
      route: [0, 11, 19, 48, 49, 36, 46, 47, 0]
    V1: route_len=7, load=43.0 (72%), travel=12.00, penalty=1010.00
      route: [0, 27, 28, 26, 24, 12, 3, 50, 0]
    V2: route_len=7, load=37.0 (62%), travel=12.00, penalty=1130.00
      route: [0, 42, 43, 14, 38, 44, 16, 37, 0]
    V3: route_len=7, load=37.0 (62%), travel=10.00, penalty=1460.00
      route: [0, 13, 2, 15, 41, 22, 21, 40, 0]
    V4: route_len=6, load=44.0 (73%), travel=10.00, penalty=1140.00
      route: [0, 31, 10, 32, 30, 20, 1, 0]
    V5: route_len=5, load=21.0 (35%), travel=13.00, penalty=20.00
      route: [0, 29, 35, 34, 9, 33, 0]
    V6: route_len=7, load=36.0 (60%), travel=12.00, penalty=770.00
      route: [0, 8, 45, 17, 5, 18, 7, 6, 0]
    V7: route_len=4, load=16.0 (27%), travel=12.00, penalty=360.00
      route: [0, 4, 23, 25, 39, 0]
==================================================

K = 9  [EXTERNAL_SOLUTION q4_v09_k09]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
27,1,0,0,0,0
28,4,0,0,0,0
26,7,8,0,640,0
40,10,0,0,0,0
13,13,0,0,0,0
6,16,0,0,0,0
1,2,15,0,2250,1
30,5,0,0,0,1
20,8,6,0,360,1
32,11,4,0,160,1
10,14,0,0,0,1
31,17,0,6,720,1
4,3,6,0,360,2
39,6,0,0,0,2
25,9,0,0,0,2
23,13,0,0,0,2
21,17,0,4,320,2
7,3,6,0,360,3
48,6,10,0,1000,3
19,9,0,0,0,3
11,12,0,0,0,3
49,16,0,0,0,3
36,19,0,0,0,3
46,23,0,3,180,3
47,26,0,11,2420,3
12,2,3,0,90,4
24,6,9,0,810,4
29,9,0,0,0,4
3,12,2,0,40,4
50,15,0,0,0,4
33,18,0,0,0,4
18,2,8,0,640,5
5,5,0,0,0,5
45,9,0,0,0,5
17,12,0,0,0,5
8,16,0,0,0,5
2,2,1,0,10,6
41,6,0,0,0,6
22,9,0,0,0,6
15,13,0,0,0,6
43,16,0,0,0,6
42,19,0,0,0,6
14,4,0,0,0,7
38,7,0,0,0,7
44,10,0,0,0,7
16,13,0,0,0,7
37,16,0,0,0,7
9,4,3,0,90,8
35,7,0,0,0,8
34,10,3,0,90,8
==================================================
  Q4 Results
==================================================
  Vehicles        : 9
  Total travel    : 99.0000
  Total TW penalty: 10540.0000
  Objective       : 10639.0000
    V0: route_len=6, load=38.0 (63%), travel=7.00, penalty=640.00
      route: [0, 27, 28, 26, 40, 13, 6, 0]
    V1: route_len=6, load=44.0 (73%), travel=9.00, penalty=3490.00
      route: [0, 1, 30, 20, 32, 10, 31, 0]
    V2: route_len=5, load=18.0 (30%), travel=11.00, penalty=680.00
      route: [0, 4, 39, 25, 23, 21, 0]
    V3: route_len=8, load=43.0 (72%), travel=16.00, penalty=3960.00
      route: [0, 7, 48, 19, 11, 49, 36, 46, 47, 0]
    V4: route_len=6, load=35.0 (58%), travel=11.00, penalty=940.00
      route: [0, 12, 24, 29, 3, 50, 33, 0]
    V5: route_len=5, load=23.0 (38%), travel=11.00, penalty=640.00
      route: [0, 18, 5, 45, 17, 8, 0]
    V6: route_len=6, load=34.0 (57%), travel=12.00, penalty=10.00
      route: [0, 2, 41, 22, 15, 43, 42, 0]
    V7: route_len=5, load=24.0 (40%), travel=11.00, penalty=0.00
      route: [0, 14, 38, 44, 16, 37, 0]
    V8: route_len=3, load=12.0 (20%), travel=11.00, penalty=180.00
      route: [0, 9, 35, 34, 0]
==================================================

K = 10  [EXTERNAL_SOLUTION q4_v10_k10]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
13,1,8,0,640,0
37,4,11,0,1210,0
17,8,0,0,0,0
16,11,0,0,0,0
5,14,0,0,0,0
6,17,0,0,0,0
26,1,14,0,1960,1
28,4,0,0,0,1
27,7,0,0,0,1
1,10,7,0,490,1
3,14,0,0,0,1
12,17,0,4,320,1
33,21,0,0,0,1
50,24,0,4,320,1
4,3,6,0,360,2
23,7,0,0,0,2
25,11,0,0,0,2
39,14,0,0,0,2
11,4,0,0,0,3
19,7,0,0,0,3
49,11,1,0,10,3
47,15,0,0,0,3
36,18,0,0,0,3
42,3,0,0,0,4
43,6,9,0,810,4
14,9,0,0,0,4
44,12,0,0,0,4
38,15,0,0,0,4
15,20,0,0,0,4
9,4,3,0,90,5
34,7,6,0,360,5
35,10,0,0,0,5
40,1,6,0,360,6
41,5,1,0,10,6
22,8,0,0,0,6
21,11,0,0,0,6
2,14,0,2,80,6
31,2,1,0,10,7
10,5,8,0,640,7
20,9,5,0,250,7
32,12,3,0,90,7
30,15,0,0,0,7
24,4,11,0,1210,8
29,7,0,0,0,8
7,3,6,0,360,9
18,6,4,0,160,9
45,10,0,0,0,9
46,13,0,0,0,9
48,17,0,0,0,9
8,20,0,2,80,9
==================================================
  Q4 Results
==================================================
  Vehicles        : 10
  Total travel    : 112.0000
  Total TW penalty: 9820.0000
  Objective       : 9932.0000
    V0: route_len=6, load=33.0 (55%), travel=8.00, penalty=1850.00
      route: [0, 13, 37, 17, 16, 5, 6, 0]
    V1: route_len=8, load=49.0 (82%), travel=12.00, penalty=3090.00
      route: [0, 26, 28, 27, 1, 3, 12, 33, 50, 0]
    V2: route_len=4, load=16.0 (27%), travel=12.00, penalty=360.00
      route: [0, 4, 23, 25, 39, 0]
    V3: route_len=5, load=27.0 (45%), travel=15.00, penalty=10.00
      route: [0, 11, 19, 49, 47, 36, 0]
    V4: route_len=6, load=33.0 (55%), travel=14.00, penalty=810.00
      route: [0, 42, 43, 14, 44, 38, 15, 0]
    V5: route_len=3, load=12.0 (20%), travel=11.00, penalty=450.00
      route: [0, 9, 34, 35, 0]
    V6: route_len=5, load=27.0 (45%), travel=8.00, penalty=450.00
      route: [0, 40, 41, 22, 21, 2, 0]
    V7: route_len=5, load=38.0 (63%), travel=10.00, penalty=990.00
      route: [0, 31, 10, 20, 32, 30, 0]
    V8: route_len=2, load=9.0 (15%), travel=9.00, penalty=1210.00
      route: [0, 24, 29, 0]
    V9: route_len=6, load=27.0 (45%), travel=13.00, penalty=600.00
      route: [0, 7, 18, 45, 46, 48, 8, 0]
==================================================

K = 11  [EXTERNAL_SOLUTION q4_v11_k11]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
5,3,0,0,0,0
16,6,1,0,10,0
17,9,0,0,0,0
33,3,0,0,0,1
29,7,0,0,0,1
24,10,5,0,250,1
3,14,0,0,0,1
12,17,0,4,320,1
22,4,4,0,160,2
23,7,0,0,0,2
41,11,0,0,0,2
31,2,1,0,10,3
10,5,8,0,640,3
20,9,5,0,250,3
32,12,3,0,90,3
30,15,0,0,0,3
6,1,6,0,360,4
13,4,5,0,250,4
2,7,0,0,0,4
21,10,0,0,0,4
40,13,0,0,0,4
11,4,0,0,0,5
19,7,0,0,0,5
47,10,0,0,0,5
49,14,0,0,0,5
36,17,0,0,0,5
42,3,0,0,0,6
15,6,0,0,0,6
43,9,6,0,360,6
38,13,0,0,0,6
14,16,0,0,0,6
44,19,0,1,20,6
37,22,0,1,20,6
9,4,3,0,90,7
34,7,6,0,360,7
35,10,0,0,0,7
28,1,0,0,0,8
27,4,0,0,0,8
1,7,10,0,1000,8
50,10,4,0,160,8
26,14,1,0,10,8
18,2,8,0,640,9
8,5,3,0,90,9
46,8,4,0,160,9
45,11,0,0,0,9
7,15,0,1,20,9
48,18,0,0,0,9
25,4,2,0,40,10
39,7,0,0,0,10
4,10,0,0,0,10
==================================================
  Q4 Results
==================================================
  Vehicles        : 11
  Total travel    : 113.0000
  Total TW penalty: 5310.0000
  Objective       : 5423.0000
    V0: route_len=3, load=17.0 (28%), travel=9.00, penalty=10.00
      route: [0, 5, 16, 17, 0]
    V1: route_len=5, load=27.0 (45%), travel=11.00, penalty=570.00
      route: [0, 33, 29, 24, 3, 12, 0]
    V2: route_len=3, load=16.0 (27%), travel=11.00, penalty=160.00
      route: [0, 22, 23, 41, 0]
    V3: route_len=5, load=38.0 (63%), travel=10.00, penalty=990.00
      route: [0, 31, 10, 20, 32, 30, 0]
    V4: route_len=5, load=27.0 (45%), travel=6.00, penalty=610.00
      route: [0, 6, 13, 2, 21, 40, 0]
    V5: route_len=5, load=27.0 (45%), travel=14.00, penalty=0.00
      route: [0, 11, 19, 47, 49, 36, 0]
    V6: route_len=7, load=36.0 (60%), travel=13.00, penalty=400.00
      route: [0, 42, 15, 43, 38, 14, 44, 37, 0]
    V7: route_len=3, load=12.0 (20%), travel=11.00, penalty=450.00
      route: [0, 9, 34, 35, 0]
    V8: route_len=5, load=31.0 (52%), travel=7.00, penalty=1170.00
      route: [0, 28, 27, 1, 50, 26, 0]
    V9: route_len=6, load=27.0 (45%), travel=12.00, penalty=910.00
      route: [0, 18, 8, 46, 45, 7, 48, 0]
    V10: route_len=3, load=13.0 (22%), travel=9.00, penalty=40.00
      route: [0, 25, 39, 4, 0]
==================================================
